Subject,Task,Contrast,Gradient,Value
01,Semantic,Probe_SCB,1,0.034
01,Semantic,Probe_SCB,2,0.2786
01,Semantic,Probe_SCB,3,-0.0074
01,Semantic,Probe_MCB,1,0.0094
01,Semantic,Probe_MCB,2,0.2795
01,Semantic,Probe_MCB,3,0.0118
01,Semantic,Dots_SCB,1,0.0768
01,Semantic,Dots_SCB,2,0.1221
01,Semantic,Dots_SCB,3,0.0666
01,Semantic,Dots_MCB,1,0.1304
01,Semantic,Dots_MCB,2,0.1396
01,Semantic,Dots_MCB,3,0.0012
01,Semantic,Decision_SCB,1,0.0623
01,Semantic,Decision_SCB,2,0.3444
01,Semantic,Decision_SCB,3,-0.0923
01,Semantic,Decision_MCB,1,0.0252
01,Semantic,Decision_MCB,2,0.3386
01,Semantic,Decision_MCB,3,-0.1123
01,Context,Probe_SCB,1,-0.0243
01,Context,Probe_SCB,2,0.3556
01,Context,Probe_SCB,3,0.006
01,Context,Probe_MCB,1,0.0048
01,Context,Probe_MCB,2,0.3513
01,Context,Probe_MCB,3,-0.0036
01,Context,Dots_SCB,1,0.1273
01,Context,Dots_SCB,2,0.1953
01,Context,Dots_SCB,3,-0.0017
01,Context,Dots_MCB,1,0.0838
01,Context,Dots_MCB,2,0.246
01,Context,Dots_MCB,3,0.0124
01,Context,Decision_SCB,1,-0.0187
01,Context,Decision_SCB,2,0.3203
01,Context,Decision_SCB,3,-0.0276
01,Context,Decision_MCB,1,-0.0003
01,Context,Decision_MCB,2,0.2997
01,Context,Decision_MCB,3,-0.0107
02,Semantic,Probe_SCB,1,-0.1928
02,Semantic,Probe_SCB,2,0.2258
02,Semantic,Probe_SCB,3,-0.1425
02,Semantic,Probe_MCB,1,-0.1297
02,Semantic,Probe_MCB,2,0.238
02,Semantic,Probe_MCB,3,-0.1409
02,Semantic,Dots_SCB,1,-0.0834
02,Semantic,Dots_SCB,2,0.2011
02,Semantic,Dots_SCB,3,-0.0523
02,Semantic,Dots_MCB,1,-0.0407
02,Semantic,Dots_MCB,2,0.087
02,Semantic,Dots_MCB,3,-0.0001
02,Semantic,Decision_SCB,1,-0.1053
02,Semantic,Decision_SCB,2,0.2774
02,Semantic,Decision_SCB,3,-0.0073
02,Semantic,Decision_MCB,1,-0.1548
02,Semantic,Decision_MCB,2,0.2752
02,Semantic,Decision_MCB,3,-0.0128
02,Context,Probe_SCB,1,-0.152
02,Context,Probe_SCB,2,0.3511
02,Context,Probe_SCB,3,0.0616
02,Context,Probe_MCB,1,-0.1698
02,Context,Probe_MCB,2,0.3385
02,Context,Probe_MCB,3,0.041
02,Context,Dots_SCB,1,0.0063
02,Context,Dots_SCB,2,0.2421
02,Context,Dots_SCB,3,0.1035
02,Context,Dots_MCB,1,0.0528
02,Context,Dots_MCB,2,0.1819
02,Context,Dots_MCB,3,0.1148
02,Context,Decision_SCB,1,-0.1307
02,Context,Decision_SCB,2,0.3471
02,Context,Decision_SCB,3,0.0302
02,Context,Decision_MCB,1,-0.1837
02,Context,Decision_MCB,2,0.3578
02,Context,Decision_MCB,3,0.0195
03,Semantic,Probe_SCB,1,0.0645
03,Semantic,Probe_SCB,2,0.2216
03,Semantic,Probe_SCB,3,-0.0162
03,Semantic,Probe_MCB,1,0.0604
03,Semantic,Probe_MCB,2,0.1963
03,Semantic,Probe_MCB,3,-0.0378
03,Semantic,Dots_SCB,1,0.1398
03,Semantic,Dots_SCB,2,-0.0095
03,Semantic,Dots_SCB,3,0.0644
03,Semantic,Dots_MCB,1,0.2332
03,Semantic,Dots_MCB,2,0.0558
03,Semantic,Dots_MCB,3,0.0192
03,Semantic,Decision_SCB,1,-0.1303
03,Semantic,Decision_SCB,2,0.2331
03,Semantic,Decision_SCB,3,-0.0601
03,Semantic,Decision_MCB,1,-0.1962
03,Semantic,Decision_MCB,2,0.1952
03,Semantic,Decision_MCB,3,0.078
03,Context,Probe_SCB,1,-0.1074
03,Context,Probe_SCB,2,0.3082
03,Context,Probe_SCB,3,0.0585
03,Context,Probe_MCB,1,-0.1013
03,Context,Probe_MCB,2,0.3128
03,Context,Probe_MCB,3,0.0377
03,Context,Dots_SCB,1,0.1232
03,Context,Dots_SCB,2,0.0989
03,Context,Dots_SCB,3,0.1854
03,Context,Dots_MCB,1,-0.0042
03,Context,Dots_MCB,2,0.0791
03,Context,Dots_MCB,3,0.1399
03,Context,Decision_SCB,1,-0.1818
03,Context,Decision_SCB,2,0.2805
03,Context,Decision_SCB,3,-0.0637
03,Context,Decision_MCB,1,-0.0191
03,Context,Decision_MCB,2,0.2698
03,Context,Decision_MCB,3,-0.0028
04,Semantic,Probe_SCB,1,-0.0478
04,Semantic,Probe_SCB,2,0.2855
04,Semantic,Probe_SCB,3,-0.0402
04,Semantic,Probe_MCB,1,-0.1283
04,Semantic,Probe_MCB,2,0.285
04,Semantic,Probe_MCB,3,0.0206
04,Semantic,Dots_SCB,1,-0.1176
04,Semantic,Dots_SCB,2,0.2531
04,Semantic,Dots_SCB,3,0.0141
04,Semantic,Dots_MCB,1,0.0626
04,Semantic,Dots_MCB,2,0.1351
04,Semantic,Dots_MCB,3,-0.0616
04,Semantic,Decision_SCB,1,0.137
04,Semantic,Decision_SCB,2,0.1484
04,Semantic,Decision_SCB,3,-0.0767
04,Semantic,Decision_MCB,1,0.0995
04,Semantic,Decision_MCB,2,0.1904
04,Semantic,Decision_MCB,3,-0.0835
04,Context,Probe_SCB,1,-0.0376
04,Context,Probe_SCB,2,0.1658
04,Context,Probe_SCB,3,-0.0472
04,Context,Probe_MCB,1,-0.0594
04,Context,Probe_MCB,2,0.1876
04,Context,Probe_MCB,3,-0.0301
04,Context,Dots_SCB,1,-0.0694
04,Context,Dots_SCB,2,0.1815
04,Context,Dots_SCB,3,0.0506
04,Context,Dots_MCB,1,-0.0502
04,Context,Dots_MCB,2,0.0978
04,Context,Dots_MCB,3,0.0161
04,Context,Decision_SCB,1,-0.1358
04,Context,Decision_SCB,2,0.2565
04,Context,Decision_SCB,3,-0.0486
04,Context,Decision_MCB,1,-0.1286
04,Context,Decision_MCB,2,0.2986
04,Context,Decision_MCB,3,-0.0952
05,Semantic,Probe_SCB,1,-0.1773
05,Semantic,Probe_SCB,2,0.2947
05,Semantic,Probe_SCB,3,0.0387
05,Semantic,Probe_MCB,1,-0.1661
05,Semantic,Probe_MCB,2,0.3149
05,Semantic,Probe_MCB,3,0.0175
05,Semantic,Dots_SCB,1,-0.1199
05,Semantic,Dots_SCB,2,0.1549
05,Semantic,Dots_SCB,3,0.0136
05,Semantic,Dots_MCB,1,-0.0914
05,Semantic,Dots_MCB,2,0.1519
05,Semantic,Dots_MCB,3,0.0719
05,Semantic,Decision_SCB,1,-0.1011
05,Semantic,Decision_SCB,2,0.3212
05,Semantic,Decision_SCB,3,0.0546
05,Semantic,Decision_MCB,1,-0.1425
05,Semantic,Decision_MCB,2,0.2849
05,Semantic,Decision_MCB,3,-0.0113
05,Context,Probe_SCB,1,-0.1569
05,Context,Probe_SCB,2,0.3092
05,Context,Probe_SCB,3,0.0512
05,Context,Probe_MCB,1,-0.1392
05,Context,Probe_MCB,2,0.3151
05,Context,Probe_MCB,3,0.022
05,Context,Dots_SCB,1,-0.1825
05,Context,Dots_SCB,2,0.2422
05,Context,Dots_SCB,3,0.0755
05,Context,Dots_MCB,1,-0.1431
05,Context,Dots_MCB,2,0.2121
05,Context,Dots_MCB,3,0.142
05,Context,Decision_SCB,1,0.0007
05,Context,Decision_SCB,2,0.2732
05,Context,Decision_SCB,3,0.0821
05,Context,Decision_MCB,1,-0.0552
05,Context,Decision_MCB,2,0.3232
05,Context,Decision_MCB,3,0.0753
06,Semantic,Probe_SCB,1,-0.0895
06,Semantic,Probe_SCB,2,0.1419
06,Semantic,Probe_SCB,3,-0.0206
06,Semantic,Probe_MCB,1,-0.0217
06,Semantic,Probe_MCB,2,0.1631
06,Semantic,Probe_MCB,3,-0.0699
06,Semantic,Dots_SCB,1,0.0583
06,Semantic,Dots_SCB,2,-0.1174
06,Semantic,Dots_SCB,3,0.001
06,Semantic,Dots_MCB,1,0.0177
06,Semantic,Dots_MCB,2,-0.1384
06,Semantic,Dots_MCB,3,0.0952
06,Semantic,Decision_SCB,1,-0.1127
06,Semantic,Decision_SCB,2,0.401
06,Semantic,Decision_SCB,3,-0.0275
06,Semantic,Decision_MCB,1,-0.0755
06,Semantic,Decision_MCB,2,0.4023
06,Semantic,Decision_MCB,3,-0.0823
06,Context,Probe_SCB,1,-0.0899
06,Context,Probe_SCB,2,0.3062
06,Context,Probe_SCB,3,0.0654
06,Context,Probe_MCB,1,-0.1751
06,Context,Probe_MCB,2,0.3263
06,Context,Probe_MCB,3,0.0514
06,Context,Dots_SCB,1,-0.0774
06,Context,Dots_SCB,2,0.0609
06,Context,Dots_SCB,3,0.1658
06,Context,Dots_MCB,1,-0.0388
06,Context,Dots_MCB,2,0.0402
06,Context,Dots_MCB,3,0.1408
06,Context,Decision_SCB,1,-0.1911
06,Context,Decision_SCB,2,0.343
06,Context,Decision_SCB,3,-0.0017
06,Context,Decision_MCB,1,-0.1328
06,Context,Decision_MCB,2,0.3084
06,Context,Decision_MCB,3,0.031
07,Semantic,Probe_SCB,1,-0.1985
