Subject,Context_Decision_MCB_1,Context_Decision_MCB_2,Context_Decision_MCB_3,Context_Decision_SCB_1,Context_Decision_SCB_2,Context_Decision_SCB_3,Context_Dots_MCB_1,Context_Dots_MCB_2,Context_Dots_MCB_3,Context_Dots_SCB_1,Context_Dots_SCB_2,Context_Dots_SCB_3,Context_Probe_MCB_1,Context_Probe_MCB_2,Context_Probe_MCB_3,Context_Probe_SCB_1,Context_Probe_SCB_2,Context_Probe_SCB_3,Semantic_Decision_MCB_1,Semantic_Decision_MCB_2,Semantic_Decision_MCB_3,Semantic_Decision_SCB_1,Semantic_Decision_SCB_2,Semantic_Decision_SCB_3,Semantic_Dots_MCB_1,Semantic_Dots_MCB_2,Semantic_Dots_MCB_3,Semantic_Dots_SCB_1,Semantic_Dots_SCB_2,Semantic_Dots_SCB_3,Semantic_Probe_MCB_1,Semantic_Probe_MCB_2,Semantic_Probe_MCB_3,Semantic_Probe_SCB_1,Semantic_Probe_SCB_2,Semantic_Probe_SCB_3
1,-0.0003,0.2997,-0.0107,-0.0187,0.3203,-0.0276,0.0838,0.246,0.0124,0.1273,0.1953,-0.0017,0.0048,0.3513,-0.0036,-0.0243,0.3556,0.006,0.0252,0.3386,-0.1123,0.0623,0.3444,-0.0923,0.1304,0.1396,0.0012,0.0768,0.1221,0.0666,0.0094,0.2795,0.0118,0.034,0.2786,-0.0074
2,-0.1837,0.3578,0.0195,-0.1307,0.3471,0.0302,0.0528,0.1819,0.1148,0.0063,0.2421,0.1035,-0.1698,0.3385,0.041,-0.152,0.3511,0.0616,-0.1548,0.2752,-0.0128,-0.1053,0.2774,-0.0073,-0.0407,0.087,-0.0001,-0.0834,0.2011,-0.0523,-0.1297,0.238,-0.1409,-0.1928,0.2258,-0.1425
3,-0.0191,0.2698,-0.0028,-0.1818,0.2805,-0.0637,-0.0042,0.0791,0.1399,0.1232,0.0989,0.1854,-0.1013,0.3128,0.0377,-0.1074,0.3082,0.0585,-0.1962,0.1952,0.078,-0.1303,0.2331,-0.0601,0.2332,0.0558,0.0192,0.1398,-0.0095,0.0644,0.0604,0.1963,-0.0378,0.0645,0.2216,-0.0162
4,-0.1286,0.2986,-0.0952,-0.1358,0.2565,-0.0486,-0.0502,0.0978,0.0161,-0.0694,0.1815,0.0506,-0.0594,0.1876,-0.0301,-0.0376,0.1658,-0.0472,0.0995,0.1904,-0.0835,0.137,0.1484,-0.0767,0.0626,0.1351,-0.0616,-0.1176,0.2531,0.0141,-0.1283,0.285,0.0206,-0.0478,0.2855,-0.0402
5,-0.0552,0.3232,0.0753,0.0007,0.2732,0.0821,-0.1431,0.2121,0.142,-0.1825,0.2422,0.0755,-0.1392,0.3151,0.022,-0.1569,0.3092,0.0512,-0.1425,0.2849,-0.0113,-0.1011,0.3212,0.0546,-0.0914,0.1519,0.0719,-0.1199,0.1549,0.0136,-0.1661,0.3149,0.0175,-0.1773,0.2947,0.0387
6,-0.1328,0.3084,0.031,-0.1911,0.343,-0.0017,-0.0388,0.0402,0.1408,-0.0774,0.0609,0.1658,-0.1751,0.3263,0.0514,-0.0899,0.3062,0.0654,-0.0755,0.4023,-0.0823,-0.1127,0.401,-0.0275,0.0177,-0.1384,0.0952,0.0583,-0.1174,0.001,-0.0217,0.1631,-0.0699,-0.0895,0.1419,-0.0206
7,0.0478,0.2854,-0.1077,0.0404,0.2432,0.0039,0.0612,0.0675,0.0001,0.0027,0.1078,-0.0456,-0.0483,0.2413,-0.0436,-0.0216,0.2321,-0.0652,-0.0064,0.1759,0.1273,-0.0944,0.1673,0.167,-0.1393,0.1129,-0.1365,-0.0663,0.0765,-0.1632,-0.1961,0.1115,-0.0241,-0.1985,0.164,0.0096
8,-0.1389,0.3688,-0.0536,-0.2536,0.3571,-0.0528,-0.0797,0.1132,-0.0202,0.0402,0.1306,0.0193,-0.1371,0.3386,-0.0224,-0.1076,0.3186,-0.039,-0.1772,0.3498,-0.068,-0.1533,0.2917,0.0017,-0.0085,-0.0101,0.0117,0.0155,-0.011,0.0125,-0.0925,0.2582,-0.0005,-0.1059,0.2236,-0.0391
9,-0.1715,0.4045,0.0396,-0.12,0.4296,0.0615,0.0005,0.2488,0.1126,-0.0201,0.2567,0.0522,-0.1492,0.4071,-0.0094,-0.1581,0.3995,0.0316,-0.1554,0.3073,-0.1195,-0.2706,0.2883,0.1172,-0.1011,0.1958,0.0271,0.0013,0.1471,-0.0267,-0.183,0.336,0.0098,-0.2088,0.3359,-0.0302
10,-0.0901,0.3424,0.0244,-0.1238,0.3143,0.0758,-0.0106,0.095,0.0907,0.0245,0.1281,-0.0202,-0.1823,0.3183,0.0531,-0.1794,0.3153,0.0551,-0.0494,0.3414,-0.0023,-0.0708,0.3571,0.0139,-0.2314,0.1156,0.0207,-0.0739,0.143,0.0382,-0.1682,0.3421,0.0412,-0.1909,0.3293,0.0201
11,-0.139,0.3407,-0.1114,-0.09,0.3517,-0.1051,-0.0696,0.0721,-0.0003,-0.094,0.0371,0.0423,-0.1328,0.2087,-0.0417,-0.1203,0.2184,-0.0959,-0.1178,0.2929,0.1006,-0.2144,0.2567,0.0035,-0.0189,0.0349,-0.1712,0.013,0.079,-0.1098,-0.1071,0.1612,-0.1434,-0.1186,0.1638,-0.1541
12,-0.2754,0.3611,-0.0388,-0.2691,0.3541,-0.0075,0.0832,-0.0281,0.1347,0.0778,-0.0417,0.0764,-0.0397,0.3132,-0.1017,-0.0496,0.3358,-0.0909,-0.2318,0.2723,-0.0594,-0.1589,0.2798,-0.165,0.1568,-0.0527,0.1262,0.1171,-0.05,0.2043,0.0455,0.1384,0.0687,0.0464,0.1683,0.085
13,0.0076,0.2468,0.0687,-0.0268,0.2216,0.024,0.0055,0.1258,-0.022,-0.0312,0.155,0.0251,-0.1403,0.2423,0.0234,-0.1116,0.251,0.0363,-0.1201,0.2333,0.1733,-0.0821,0.1044,0.177,0.0375,0.0466,-0.0636,0.0362,0.1023,-0.1179,-0.0311,0.1686,-0.1353,0.0033,0.1543,-0.1353
14,-0.192,0.3244,0.0191,-0.1925,0.3205,0.015,0.0413,0.0809,0.0261,0.0384,0.0622,0.0251,-0.1668,0.2283,-0.0038,-0.1434,0.2512,0.0234,-0.1199,0.3302,-0.0104,-0.0281,0.2799,-0.0403,-0.0258,-0.0585,0.0658,-0.1118,0.0111,0.0107,-0.1613,0.1538,-0.0568,-0.1691,0.1516,0.0018
15,-0.1257,0.3957,0.0186,0.0117,0.3544,0.0071,0.1245,0.0968,-0.0549,0.0436,0.1037,0.0031,-0.0538,0.29,-0.0003,-0.0539,0.2918,0.0115,-0.1451,0.3295,0.0893,-0.0298,0.3293,-0.0077,0.029,0.0399,-0.0612,-0.0576,0.041,-0.0325,-0.0728,0.1854,-0.0176,-0.1166,0.1681,0.0159
16,-0.1519,0.3633,0.0392,-0.1755,0.3214,0.0689,0.175,-0.0422,-0.0071,0.149,-0.0205,-0.0061,-0.0426,0.2312,0.0687,0.009,0.2609,0.0212,-0.073,0.3243,-0.0514,-0.0525,0.3719,-0.0695,-0.0499,-0.0705,0.2089,-0.0293,-0.0984,0.2133,0.0315,0.0246,0.1105,-0.0192,-0.0106,0.1768
19,-0.0248,0.2265,0.1228,-0.1483,0.2636,0.0381,-0.0124,0.2188,-0.0874,0.0258,0.1617,-0.0088,-0.1436,0.3718,-0.004,-0.1219,0.3793,-0.0199,-0.1343,0.2496,0.1176,-0.1402,0.259,0.0198,0.089,0.0337,0.1438,0.0922,-0.0026,0.1572,-0.0181,0.0669,0.1871,-0.0181,0.077,0.1923
21,-0.1247,0.3932,0.0185,-0.1451,0.3585,-0.0382,-0.0668,0.0117,0.0904,-0.087,0.0465,0.1969,-0.2571,0.2521,0.1312,-0.282,0.2096,0.1378,-0.178,0.3402,-0.0465,-0.1247,0.3152,-0.0625,-0.0672,0.0032,0.0297,-0.0564,0.0181,-0.0247,-0.2387,0.1785,-0.0624,-0.2975,0.1719,-0.0428
22,-0.0355,0.2556,-0.0011,0.0362,0.2921,-0.0176,0.125,-0.0455,0.108,0.0789,-0.0764,0.113,0.0327,0.1376,0.0731,0.0146,0.0862,0.1152,-0.0211,0.1563,-0.0172,-0.1051,0.2133,0.031,-0.0685,-0.0189,0.1599,-0.0694,-0.0064,0.0651,-0.2217,0.0993,0.137,-0.1897,0.106,0.1865
23,-0.1984,0.3487,-0.0037,-0.1551,0.3504,-0.0308,0.1661,0.0678,0.0214,0.1031,0.0962,0.0409,-0.024,0.3491,-0.0441,-0.0129,0.3425,-0.0413,-0.109,0.3071,-0.1015,-0.1789,0.2738,0.0031,0.1394,0.1059,0.0557,0.0994,0.1486,-0.149,-0.0362,0.3003,-0.094,0.0283,0.2907,-0.1049
24,-0.1118,0.3167,-0.0835,-0.0941,0.2984,0.0077,-0.0018,0.1466,-0.0384,0.0314,0.0365,-0.0247,-0.0423,0.1693,-0.0212,-0.0348,0.2445,-0.0327,-0.0347,0.3325,-0.0375,0.0282,0.3072,0.0638,-0.2299,0.0234,0.1575,-0.3,-0.0218,0.1252,-0.2286,0.206,0.0011,-0.227,0.2301,0.0265
50,-0.1085,0.2161,0.033,-0.2125,0.2815,0.0508,0.0236,0.3411,-0.0048,0.1206,0.328,-0.0562,-0.0759,0.3953,-0.0032,-0.0663,0.4241,-0.0039,-0.2442,0.1646,0.0854,-0.2924,0.1486,0.1119,0.0091,0.1985,0.0845,0.0494,0.1433,0.0385,-0.0603,0.1845,0.0854,-0.0406,0.2338,0.0688
51,0.1434,0.0015,-0.0208,-0.022,0.18,0.0124,-0.1925,0.1101,0.0659,-0.0457,0.0465,0.1317,0.0062,0.0844,0.088,-0.0347,0.1434,0.0665,0.0914,0.1408,-0.1587,0.1855,0.0212,-0.1627,0.0145,-0.0323,0.0978,-0.0216,0.0409,0.0835,-0.1065,0.0159,0.0273,0.0119,0.0728,0.032
52,0.0945,0.0426,-0.098,-0.0542,0.1009,-0.0457,-0.1081,0.0811,0.1116,-0.1028,0.0956,0.1308,-0.133,0.1654,0.1284,-0.0721,0.1469,0.1547,-0.1,0.0093,0.0963,-0.0591,-0.0619,-0.0877,0.1125,0.1323,-0.1075,0.0656,0.1206,0.1233,0.0344,0.1636,0.0247,0.0486,0.1366,0.0304
53,0.0149,-0.002,0.1059,-0.0702,0.0842,0.0976,0.0393,0.0748,-0.0585,-0.0967,0.1729,0.0443,-0.1045,0.2677,0.0508,-0.1142,0.2307,0.0458,-0.0158,0.0131,-0.0516,0.117,-0.0178,-0.0401,-0.189,0.0786,0.1214,-0.1702,0.0763,0.1754,-0.1063,0.1668,0.209,-0.1422,0.1529,0.185
54,-0.214,0.1889,-0.0912,-0.109,0.2291,-0.102,0.1243,0.2081,0.0641,0.152,0.1828,0.0764,0.0014,0.2518,0.0397,-0.0123,0.2627,0.0314,-0.2399,0.2001,-0.0564,-0.1701,0.2127,0.0314,0.1823,-0.0015,0.1345,0.1326,0.0014,0.0215,-0.0198,0.0381,0.0171,-0.0185,0.0446,0.0631
55,-0.1522,-0.0719,-0.1107,-0.0279,-0.183,-0.1366,0.0992,0.1029,0.1111,0.0129,0.1238,0.1236,0.1108,0.0644,0.0668,0.0498,0.1009,0.1107,-0.0351,0.0755,0.0075,-0.0527,0.0792,-0.0354,0.0009,0.001,-0.0223,0.0318,-0.0076,-0.0677,-0.0721,0.0789,-0.0697,-0.0722,0.071,-0.0829
