Subject,Context_Decision_MCB_1,Context_Decision_MCB_2,Context_Decision_MCB_3,Context_Decision_SCB_1,Context_Decision_SCB_2,Context_Decision_SCB_3,Context_Dots_MCB_1,Context_Dots_MCB_2,Context_Dots_MCB_3,Context_Dots_SCB_1,Context_Dots_SCB_2,Context_Dots_SCB_3,Context_Probe_MCB_1,Context_Probe_MCB_2,Context_Probe_MCB_3,Context_Probe_SCB_1,Context_Probe_SCB_2,Context_Probe_SCB_3,Semantic_Decision_MCB_1,Semantic_Decision_MCB_2,Semantic_Decision_MCB_3,Semantic_Decision_SCB_1,Semantic_Decision_SCB_2,Semantic_Decision_SCB_3,Semantic_Dots_MCB_1,Semantic_Dots_MCB_2,Semantic_Dots_MCB_3,Semantic_Dots_SCB_1,Semantic_Dots_SCB_2,Semantic_Dots_SCB_3,Semantic_Probe_MCB_1,Semantic_Probe_MCB_2,Semantic_Probe_MCB_3,Semantic_Probe_SCB_1,Semantic_Probe_SCB_2,Semantic_Probe_SCB_3
1,-0.0915,0.3141,-0.0589,-0.1073,0.3628,-0.0687,-0.0032,0.2832,-0.0912,0.075,0.2097,-0.1236,-0.046,0.4026,-0.0957,-0.0912,0.4237,-0.0922,-0.057,0.4361,-0.2422,-0.0147,0.4138,-0.2339,0.0644,0.0918,-0.0381,0.0119,0.0589,0.0631,-0.074,0.2965,-0.0092,-0.0578,0.2866,-0.0384
2,-0.2662,0.4803,-0.0668,-0.2064,0.4422,-0.0274,-0.0335,0.1623,0.0947,-0.0872,0.2855,0.0381,-0.2086,0.4416,-0.0271,-0.222,0.4357,0.0002,-0.2458,0.4689,-0.0874,-0.1665,0.3557,-0.0247,-0.121,0.1317,-0.0382,-0.1791,0.3505,-0.1363,-0.1606,0.4426,-0.1956,-0.2265,0.4446,-0.2044
3,-0.0899,0.3647,-0.0942,-0.2414,0.4314,-0.167,-0.0671,0.0363,0.167,0.0801,-0.0543,0.233,-0.1991,0.378,0.0123,-0.233,0.3702,0.0286,-0.2455,0.3004,0.0345,-0.1797,0.3727,-0.2005,0.1723,-0.0669,0.0449,0.1004,-0.1543,0.1411,-0.0184,0.2393,-0.0711,-0.0289,0.2543,-0.0448
4,-0.1383,0.4197,-0.1387,-0.1231,0.3563,-0.0684,-0.036,0.1972,-0.0024,-0.0869,0.2587,-0.0132,-0.0434,0.2641,-0.0716,-0.0344,0.2479,-0.0886,0.1113,0.1755,-0.1146,0.1357,0.0887,-0.0884,0.0157,0.1501,-0.0778,-0.1635,0.3838,-0.0358,-0.1964,0.3802,-0.0568,-0.087,0.3847,-0.1231
5,-0.1257,0.3857,0.0078,-0.0772,0.2553,0.0653,-0.215,0.1838,0.152,-0.242,0.2875,0.0599,-0.1663,0.3376,-0.012,-0.2004,0.3235,0.022,-0.1839,0.4025,-0.1305,-0.1986,0.4022,0.0014,-0.1606,0.1057,0.1285,-0.187,0.1703,0.0053,-0.2445,0.3499,-0.009,-0.2637,0.317,0.0369
6,-0.2493,0.348,0.0529,-0.274,0.4427,-0.0469,-0.1094,0.0878,0.1277,-0.142,0.108,0.1776,-0.2499,0.4399,0.0075,-0.1997,0.3944,0.0255,-0.1595,0.5065,-0.2043,-0.2528,0.4731,-0.0839,0.0556,-0.1319,0.0712,0.1353,-0.0535,-0.0972,-0.0508,0.2945,-0.189,-0.1291,0.2914,-0.1385
7,-0.0195,0.2943,-0.1387,-0.024,0.1537,-0.0058,0.0548,0.0892,-0.1164,-0.0034,0.2123,-0.1696,-0.0811,0.2865,-0.1449,-0.0521,0.2682,-0.1697,-0.1094,0.0451,0.1145,-0.2189,0.0805,0.1622,-0.2081,0.3177,-0.2141,-0.0939,0.2294,-0.2286,-0.2658,0.1685,-0.0108,-0.2839,0.2204,0.0234
8,-0.1329,0.4523,-0.1303,-0.2484,0.4693,-0.1008,-0.1325,0.2909,-0.1674,-0.0367,0.2584,-0.1341,-0.1952,0.4498,-0.1501,-0.1723,0.443,-0.1805,-0.2489,0.5001,-0.1537,-0.2273,0.4367,-0.1185,-0.0482,-0.0678,0.0535,-0.021,-0.0921,0.0781,-0.1958,0.3,-0.034,-0.1951,0.2989,-0.0718
9,-0.2531,0.4686,-0.0475,-0.2113,0.4728,-0.0314,-0.1012,0.2846,0.029,-0.1126,0.306,-0.0295,-0.1968,0.4745,-0.0842,-0.2178,0.4624,-0.0491,-0.1954,0.4279,-0.2124,-0.3791,0.3805,0.0653,-0.1611,0.2709,-0.0294,-0.0614,0.1458,-0.0434,-0.2719,0.4279,-0.0483,-0.2792,0.4339,-0.0698
10,-0.1407,0.3799,-0.04,-0.1851,0.3345,0.0436,-0.0495,0.0747,0.0527,0.0293,0.1598,-0.1568,-0.2255,0.353,0.0326,-0.2323,0.3524,0.0341,-0.1118,0.3907,-0.0868,-0.1571,0.4523,-0.1007,-0.2874,0.2093,0.0419,-0.1563,0.098,0.1065,-0.2685,0.3908,0.0475,-0.2752,0.4193,-0.012
